uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f1d8977-b378-463a-96ef-ad77c0a8ab16",225,"Payload delivery","sha256","4ea6da6b35c4cdc6043c3b93bd6b61ea225fd5e1ec072330cb746104d0b0a4ec","RDAT backdoor",1,1595771255,"","","","",""
"5f1d8977-7ed4-4bed-a4b2-ad77c0a8ab16",225,"Payload delivery","sha256","e53cc5e62ba15e43877ca2fc1bee16061b4468545d5cc1515cb38000e22dd060","Custom Mimikatz",1,1595771255,"","","","",""
"5f1d8977-22d4-4f83-9134-ad77c0a8ab16",225,"Payload delivery","sha256","476b40796be68a5ee349677274e438aeda3817f99ba9832172d81a2c64b0d4ae","Bitvise client",1,1595771255,"","","","",""
"5f1d8977-701c-4f7a-9784-ad77c0a8ab16",225,"Payload delivery","sha256","78584dadde1489a5dca0e307318b3d2d49e39eb3987de52e288f9882527078d5","PowerShell downloader",1,1595771255,"","","","",""
"5f1d8993-7cb8-4986-b6d3-cc47c0a8ab16",225,"Payload delivery","sha256","7395a3ada245df6c8ff1d66fcb54b96ae12961d5fd9b6a57c43a3e7ab83f3cc2","RDAT",1,1595771283,"","","","",""
"5f1d8993-a7bc-420e-8191-cc47c0a8ab16",225,"Payload delivery","sha256","8f943bc5b20517fea08b2d0acc9afe8990703e9d4f7015b98489703ca51da7eb","RDAT",1,1595771283,"","","","",""
"5f1d8993-fdc0-453a-aa15-cc47c0a8ab16",225,"Payload delivery","sha256","8120849fbe85179a16882dd1a12a09fdd3ff97e30c3dfe52b43dd2ba7ed33c2a","RDAT",1,1595771283,"","","","",""
"5f1d8993-d4ec-4954-853e-cc47c0a8ab16",225,"Payload delivery","sha256","bcdb63b3520e34992f292bf9a38498f49a9ca045b7b40caab5302c76ca10f035","RDAT",1,1595771283,"","","","",""
"5f1d8993-6588-461a-9c7c-cc47c0a8ab16",225,"Payload delivery","sha256","f42c2b40574dc837b33c1012f7b6f41fcccc5ebf740a2b0af64e2c530418e9e0","RDAT",1,1595771283,"","","","",""
"5f1d8993-0fec-4041-a619-cc47c0a8ab16",225,"Payload delivery","sha256","fcabb86331cd5e2fa9edb53c4282dfcb16cc3d2cae85aabf1ee3c0c0007e508c","RDAT",1,1595771283,"","","","",""
"5f1d8993-3a94-4772-8740-cc47c0a8ab16",225,"Payload delivery","sha256","7b5042d3f0e9f077ef2b1a55b5fffab9f07cc856622bf79d56fc752e4dc04b28","RDAT",1,1595771283,"","","","",""
"5f1d8993-d25c-4789-af1a-cc47c0a8ab16",225,"Payload delivery","sha256","ee32bde60d1175709fde6869daf9c63cd3227155e37f06d45a27a2f45818a3dc","RDAT",1,1595771283,"","","","",""
"5f1d8993-1ca8-48d6-9f95-cc47c0a8ab16",225,"Payload delivery","sha256","de3f1cc2d4aac54fbdebd5bd05c9df59b938eb79bda427ae26dedef4309c55a9","RDAT",1,1595771283,"","","","",""
"5f1d8993-c74c-4c04-a82e-cc47c0a8ab16",225,"Payload delivery","sha256","acb50b02ab0ca846025e7ad6c795a80dc6f61c4426704d0f1dd7e195143f5323","RDAT",1,1595771283,"","","","",""
"5f1d8993-bcd4-4437-ae3b-cc47c0a8ab16",225,"Payload delivery","sha256","55282007716b2b987a84a790eb1c9867e23ed8b5b89ef1a836cbedaf32982358","RDAT",1,1595771283,"","","","",""
"5f1d8993-fa3c-43d6-ac11-cc47c0a8ab16",225,"Payload delivery","sha256","ba380e589261781898b1a54c2889f3360db09c61b9155607d7b4d11fcd85bd9d","RDAT",1,1595771283,"","","","",""
"5f1d8993-1800-4a80-9059-cc47c0a8ab16",225,"Payload delivery","sha256","6322cacf839b9c863f09c8ad9fd0e091501c9ba354730ab4809bb4c076610006","RDAT",1,1595771283,"","","","",""
"5f1d89a9-0e30-49d6-b577-bcf2c0a8ab16",225,"Network activity","domain","rdmsi.com","RDAT C2",1,1595771305,"","","","",""
"5f1d89a9-2e34-4d31-9333-bcf2c0a8ab16",225,"Network activity","domain","rsshay.com","RDAT C2",1,1595771305,"","","","",""
"5f1d89a9-6150-4143-9536-bcf2c0a8ab16",225,"Network activity","domain","sharjatv.com","RDAT C2",1,1595771305,"","","","",""
"5f1d89a9-144c-4045-989b-bcf2c0a8ab16",225,"Network activity","domain","wwmal.com","RDAT C2",1,1595771305,"","","","",""
"5f1d89a9-ea94-4bb7-aeb3-bcf2c0a8ab16",225,"Network activity","domain","allsecpackupdater.com","RDAT C2",1,1595771305,"","","","",""
"5f1d89a9-cb44-47d0-9a51-bcf2c0a8ab16",225,"Network activity","domain","tacsent.com","RDAT C2",1,1595771305,"","","","",""
"5f1d89a9-a870-4ac3-9a5d-bcf2c0a8ab16",225,"Network activity","domain","acrlee.com","RDAT C2",1,1595771305,"","","","",""
"5f1d89a9-3394-4a98-8870-bcf2c0a8ab16",225,"Network activity","domain","kopilkaorukov.com","RDAT C2",1,1595771305,"","","","",""
"5f1d89b4-d178-4446-93e8-b1cfc0a8ab16",225,"Network activity","hostname","digi.shanx.icu","",1,1595771316,"","","","",""
"5f1d89b4-ab58-47d8-b7f4-b1cfc0a8ab16",225,"Network activity","domain","tprs-servers.eu","",1,1595771316,"","","","",""
"5f1d89b4-996c-43a7-a9b9-b1cfc0a8ab16",225,"Network activity","domain","oudax.com","",1,1595771316,"","","","",""
"5f1d89b4-b25c-4cb3-bfe6-b1cfc0a8ab16",225,"Network activity","domain","kizlarsoroyur.com","",1,1595771316,"","","","",""
"5f1d89b4-eab0-4e18-b629-b1cfc0a8ab16",225,"Network activity","domain","intelligent-finance.site","",1,1595771316,"","","","",""
"5f1d89c4-a360-4918-8d41-cc46c0a8ab16",225,"External analysis","link","https://unit42.paloaltonetworks.com/oilrig-novel-c2-channel-steganography/","",0,1595771332,"","","","",""
"5812bd0a-dd87-48a3-b6f7-cf7f7239d65d",318,"Network activity","domain","uber-asia.com","C2",1,1652456903,"","","","",""
"ef72c689-8843-4f2f-aba6-a504c5419faf",318,"Network activity","domain","asiaworldremit.com","C2",1,1652456903,"","","","",""
"4b881694-57c3-4b8b-9c35-e6d7ada8f339",318,"Network activity","domain","joexpediagroup.com","C2",1,1652456903,"","","","",""
"f0cab9f5-ae0d-4f99-9119-7248c5ecc3cb",318,"External analysis","link","https://blog.malwarebytes.com/threat-intelligence/2022/05/apt34-targets-jordan-government-using-new-saitama-backdoor/","",0,1652456946,"","","","",""
"b690756d-a792-41cc-836a-048581184975",318,"Payload delivery","filename","E:\Saitama\Saitama.Agent\obj\Release\Saitama.Agent.pdb","pdb path",0,1652457091,"","","","",""
